tweet_id,emotion,content
1962220378,anger,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
1957119780,love,"@IkramShahnawaz Oh I love 'em, but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick"
1966422422,hate,twice in a week Qantas club lounge computers broken  #flyertalk
1753197775,fun,@ryezzzzahh hahahaha yay!!!! Lakers!!! And I would please like some of that dip!!
1965251257,worry,"throat is reallyyyyy sore , i can barely talk"
1751069204,enthusiasm,Making pork stir-fry and brown rice for dinner.
1965983762,sadness,@SimpleMia Yes. Need to listen to sad SP-Songs
1964324590,happiness,gotta go twitterers (?) my stupid sister wants to go on facebook  oging to montreal 2morrow so i wont be on for a while! bye!! XoXox &lt;33
1695476024,love,"@faceofboe Loved your running Trek film posts over the weekend. Will probably wait a few days to see new one, so no spoiler tweets!"
1694647382,surprise,Excited! Double Bio today.   I don't have a straightener and my hair looks horrendous at the moment. Wtf am I supposed to do?
1962994871,anger,@egheitasean Which denomination? I'm at the library and everything's blocked.
1960353321,surprise,"@bex_1210 holy crap, I need to see that! Too bad I gotta wait until tomorrow"
1695767442,love,Good Morning
1964206974,worry,@FreyaLynn it's too friggin late now.
1965401596,anger,rught brb on me ipod. if i randomly go off its cos me internet breaks
1694070524,love,loves finding new followers
1753758503,relief,"AmmoxXx great day? Woman, did you NOTICE the smile that never disappeared off my face? Ha, Murray... All cos of you, I owe you"
1958110071,anger,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
1957244220,worry,@JonConnelly You can vote every 20 mins I'm on page 2   http://twurl.nl/hxux3o
1753820311,neutral,@EllieJouzdani nothing is going on here is guess
1695343456,fun,Hope my roommates having a good morning without TP and soap!
1965253558,worry,"@PatBrough I've been there.  The only place I have flown out of since moving up north. Really pretty area for flying, but very expensive"
1957280676,empty,"Can't sleep, just laying here in the dark"
1957610623,worry,i need to go out of office again.. i am melting..
1694201680,enthusiasm,Download movie  Dollhouse http://tinyurl.com/crbe6n cool #movie
1753585226,enthusiasm,@sookyeong u mean VIP this time ? coz of the KBS thingy ? haha..
1965525848,sadness,Looking at my daughters baby pictures makes my heart hurt
1957301854,surprise,???-?? ? youtube ? ????
1961080721,boredom,this weekends abouttttto SUCK
1964318505,neutral,@JayLenoTonight Good luck tonight on the big finale show!
1694035886,empty,"@woopow8 Hi, what are you a consultant for?"
1960583576,worry,"@the_magician Yes, apnea, but it's not the prob. I'm on meds that might be causing this.  they help otherwise so much, don't want to stop"
1965577904,sadness,Dann and I are in Vegas. We misconnected and our next flight is at 4:45 to Midway. Tonight I will be in a hotel w/o undies
1966083365,empty,dont wanna cry  but the seniors are out there graduating&amp;its breakin my heart;but im home
1963177080,boredom,"@knayam need some more enthu movie guys for that. Right now it's just you, @karmkhanna and @_Anshul"
1751987251,love,loviiing declan
1695190524,happiness,@NadavS Cant wait to do some of those things
